GPU: Intel Iris XE Graphics,,,,,
Processador: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz   2.80 GHz,,,,,
"RAM: 16,0 GB ",,,,,
S.O. Windows 11 Home 23H2,,,,,
,,,,,
Rodando no Terminal Ubuntu WSL2 Notebook,,,,,
,n = 100000,,n = 10000000,,
Diretiva,Força Bruta (s),Heapsort (s),Heapsort Otimizado (ms),Mergesort (s),Mergesort Otimizado (s)
-O0,36.099 ± 2.859,22.132 ± 0.386,426.3 ± 22.9,2.945 ± 0.130,2.571 ± 0.154
-O1,17.807 ± 1.383,10.407 ± 0.528,357.4 ± 18.2,1.477 ± 0.082,1.230 ± 0.028
-O2,16.374 ± 0.130,  9.462 ± 0.266,349.6 ± 13.0,1.433 ± 0.017,1.222 ± 0.020
-O3,11.074 ± 0.534,  9.656 ± 0.282,335.5 ± 14.0,1.449 ± 0.067,1.178 ± 0.012
-Ofast,10.116 ± 0.076,  9.523 ± 0.250,335.5 ±  9.9,1.422 ± 0.022,1.225 ± 0.013
-Os,17.635 ± 1.554,10.332 ± 0.303,344.3 ± 11.0,1.510 ± 0.033,1.233 ± 0.019
-Og,16.332 ± 0.330 ,10.193 ± 0.162,356.8 ± 11.8,1.585 ± 0.081,1.243 ± 0.008
,,,,,
GPU: AMD Radeon RX 6650 XT,,,,,
Processador: AMD Ryzen 5 3600 6-Core Processor 3.60 GHz,,,,,
"RAM: 24,0 GB",,,,,
S.O. Windows 10 Pro 22H2,,,,,
Rodando no Terminal Ubuntu WSL2 Desktop,,,,,
,n = 100000,,n = 10000000,,
Diretiva,Força Bruta (s),Heapsort (s),Heapsort Otimizado (ms),Mergesort (s),Mergesort Otimizado (s)
-O0,30.250 ± 0.302,18.680 ± 0.032,361.5 ± 3.3,2.397 ± 0.013,2.045 ± 0.017
-O1,15.982 ± 0.079,10.441 ± 0.032,257.6 ± 1.6,1.433 ± 0.011,1.186 ± 0.014
-O2,15.910 ± 0.076,  9.843 ± 0.036,263.2 ± 2.8,1.411 ± 0.013,1.170 ± 0.011
-O3,11.549 ± 0.053,  8.774 ± 0.049,250.1 ± 2.8,1.399 ± 0.015,1.168 ± 0.012
-Ofast,11.816 ± 0.049,  8.762 ± 0.024,249.6 ± 1.2,1.388 ± 0.025,1.158 ± 0.011
-Os,15.822 ± 0.024,10.575 ± 0.072,260.2 ± 3.1,1.509 ± 0.020,1.225 ± 0.007
-Og,18.231 ± 0.111,12.378 ± 0.036,272.2 ± 1.1,1.495 ± 0.014,1.211 ± 0.007
